Population by GN division and age|||||||||Census of Population and Housing 2012|||||||||||||
|GN|||||||||||Age group||||||||||
KittammaharaThihariya South|316A318/E|2761,749|19189|28195|22179|17148|13138|10130|21112|27109|20103|26107|14116|790|1147|1339|1324|119|46|02|02|04
Pahala ThihariyaThihariya West|318B318/A|2,8651,471|286110|306146|296105|266122|202115|178101|212116|219101|191113|19296|127107|14167|9060|6852|3926|3017|1410|52|13|22
BogamuwaMangalathiriya|320A320|516992|3961|4178|3280|3780|3170|4362|5274|4171|3379|4170|2667|2556|2145|2440|2023|515|315|23|02|01
PilankadaBonegala|319A313|5791,417|3098|4193|4890|47104|4096|42119|41122|5398|3991|3089|3587|3895|3588|3055|1433|727|517|412|01|02
Meewala WestUdugoda West|315A351/A|9031,499|69164|61157|77159|65151|48122|63119|81108|7285|6181|5977|4983|6165|5353|3535|2315|1418|96|21|00|10
Mathalana EastUdugoda|352/B351|1,198863|10164|10660|8363|8152|8356|9478|7983|7454|7553|9046|7948|7953|6658|4032|1820|2416|1213|611|51|32
PannilaHunupola|352E352C|5751,265|3991|49111|28108|4187|3178|4596|5196|3983|43109|3772|4181|3771|3762|2046|1333|1316|98|113|12|02
HalpandeniyaUrapola|362A366|790981|7577|5274|4969|5662|6271|6478|7191|5872|4871|5667|4673|5559|3641|2830|1421|1014|47|31|22|11
WanduramullaDeenapamunuwa West|366/C366D|896706|7651|8148|6145|6847|7150|5963|8050|5346|6744|6142|6556|4341|3041|2327|2819|1719|129|14|03|01
DeenapamunuwaYatawaka|366B366/A|810704|4850|6256|6347|4541|5131|6747|7770|6160|4749|4636|5839|4738|5339|2736|2033|1817|109|64|22|20
SapugasthennaBopagama|365B376|1,0281,571|91138|73116|92121|66104|64105|85131|107134|58113|73126|6090|6377|6277|5879|3358|2050|927|918|33|23|01
Bopagama EastMeevitigammana|376A375A|6771,188|5491|4982|4288|3396|5771|4286|5399|5179|5690|4482|4781|3362|3662|2844|2138|1320|109|84|02|02
Bopetta SouthBopetta|367B367|1,304840|9465|10572|8668|8253|10339|9841|11161|7973|9165|7467|8850|8146|7245|5832|3023|2922|149|47|22|30
NagodaKurawalana|367A368A|8911,632|66166|75153|56140|74134|53107|52127|85143|70118|57107|5699|5884|3676|4749|3960|3334|2414|816|15|10|00
KahatovitaKahatovita West|369369/A|1,4311,608|157189|158170|163175|124134|85116|6799|112123|10682|97116|9493|8197|6074|4857|4134|1228|208|38|34|01|00
Ogodapola NorthOgodapola|314/A314|1,721561|15743|17539|16039|20522|14644|12954|11446|9029|12737|10036|9935|7739|6434|3218|1814|1715|56|57|11|03
KahambilihenaUdatuttiripitiya|312/A312|7961,457|64106|59121|6492|4593|4585|57103|81135|70106|51115|4994|4198|3680|4088|4650|2433|1535|517|45|01|00
MattagodaWeerangula|311310|1,1551,210|6399|10291|8772|10589|5586|6985|101108|8699|8492|8984|7566|5557|5564|5155|3530|1815|1514|63|21|20
Weerangula SouthKoskandawala North|310/A308/A|1,162919|6869|9163|8663|8059|7957|7268|8672|10467|8460|8265|7965|5945|6857|5033|4038|2024|98|56|00|00
KirikittamullaKirikittamulla South|309309A|544918|3180|3583|4353|4772|4563|4963|3779|3165|3068|4862|3466|3254|2635|1833|1322|1514|44|52|10|00
KoskandawalaOpathella|308371|1,361924|9274|12773|10170|8555|6153|10863|10186|10580|13154|7555|8250|8758|6551|5541|2927|2714|1711|107|32|00
ParanagamaParanagama East|370370C|1,2561,283|121110|106111|10996|9597|8487|10599|106121|7685|9074|7968|8689|6080|4769|3445|2528|1813|126|34|01|00
AruppassaMadakotuwa West|368375B|1,428706|10462|12440|11151|9645|8648|9761|11159|11647|12150|9145|8649|9129|5952|4331|3220|2710|193|113|21|10
MadakotuwaRathambale|375374|4261,332|3195|2691|3494|2599|2598|33104|3290|3271|3098|3193|2592|2077|2671|2051|1143|1328|819|313|13|02
WalgammullaRuwanpura|373370B|965986|7175|5767|5575|6970|7164|7268|8383|7175|5772|5864|5855|6258|5248|5338|2631|2323|1213|117|40|00
LavulupitiyaGalboda|372A370A|1,112713|9049|8748|8155|7162|8752|8154|8853|6846|7055|7948|7947|7147|5032|4023|3220|1610|117|75|20|20
DematalandaHappitiya|370D372|1,0041,359|85120|90106|80110|7986|7497|75101|86106|64108|80100|6282|6557|5979|4173|2548|1241|1421|1118|05|11|10
DompeMaryland Colony|389B|154,0051,466|12,213107|12,115102|11,410110|11,223110|10,713129|11,607126|13,234120|11,07893|11,177106|9,76087|9,30976|8,372100|7,43184|5,52156|3,51919|2,65817|1,5758|72012|2100|1604
Indurugalla|389|1,394|120|95|83|75|96|111|108|103|110|85|85|76|85|58|54|23|17|6|3|1
WathurugamaBandaranayakapura West|293388C|1,396776|9464|8055|10146|8464|8359|13363|10979|11148|8361|8746|9651|9432|8929|7624|3219|1217|1715|94|40|20
Bandaranayakapura EastMailawalana|388A388|7931,079|6754|5372|7072|7664|5498|4180|6576|3972|7085|5980|4578|4765|3751|2942|2134|1827|218|07|03|01
Mailawalana SouthThimbirigama|388B387A|533755|4847|3051|2862|3171|3558|3855|5259|3748|3544|3256|3659|2957|2924|3131|1812|1111|83|44|11|02
Mahal LoluwaMillathe Ihala|387386B|9641,429|83130|66114|8083|6287|5889|64104|81165|5890|8298|6081|6380|5487|4478|4659|2231|2325|818|85|11|14
PingamuwaPahala Millathe|377386A|1,2581,186|9077|9991|9890|9293|9086|9595|8979|10289|9377|6870|7493|6279|7163|6332|2432|3123|98|74|14|01
MillatheKirindiwela|386385|6951,313|5581|6685|4198|2797|3583|63106|76110|4798|5098|4293|2972|3880|5687|3350|1737|922|89|23|13|01
BogahawattaRambutanwatta|385A390B|1,4511,346|11797|118110|10895|112107|10280|10695|115119|9297|112114|106103|9687|9060|6458|4447|2735|1916|1618|65|13|00
EtambagahawattaKannimahara|389C389A|7971,230|6099|6267|6396|5397|4278|7092|68102|5984|5977|6086|4880|4680|4260|2148|2333|1427|515|27|02|00
Radawana NorthPalupelpita|390390E|6301,913|46168|56148|64139|33132|33123|35141|51159|56142|45140|39132|33114|32100|31109|3071|2043|1426|917|19|20|00
KithulakandaRadawana South|390C390A|1,1191,351|8995|78108|76111|70108|7689|8980|12294|7298|71107|79101|7884|5781|5666|4246|2529|1823|919|710|12|40
AlliyawattaDiyawala North|390D391A|1,098846|7365|8679|7358|10462|9059|7853|9067|6162|7966|7955|7354|6736|6247|3831|1718|1312|913|65|03|01
DiyawalaMeddegama|391383|1,0152,736|65237|81195|84211|58200|68194|66180|76234|79212|79186|76206|61167|65151|59130|3683|1864|1745|1623|713|24|21
UdagamaVihara Kumbura|384384A|1,7801,548|132116|146130|134136|127132|116119|125108|179125|138102|140112|119110|10788|8890|8672|5141|3831|3519|811|53|31|32
KuttivilaThalgaswatta|377B377C|1,072670|10453|8946|7053|10470|6446|7564|9058|8045|7345|8252|5845|5039|3425|2814|344|249|101|31|00|00
KendagollaUdawela|377A378B|1,187742|8162|10261|10862|9652|8767|9056|9048|8242|7845|8340|6849|6946|5538|3430|3017|1614|1110|53|00|20
KirimetiyawattaHiswella|378A378|781542|6850|6737|5037|7245|5529|6736|5953|4731|5141|5025|5828|3732|2928|2623|1820|1414|105|26|12|00
KiriwanaMeddegama North|382A383A|730753|4966|5166|5860|5554|5445|4948|6068|4859|5965|4343|3639|4930|3431|3232|2117|2717|19|34|00|10
Meddegama SouthWerahera|383B382|9941,171|6494|8388|8880|7777|4870|6090|77111|7059|8566|5482|6667|5380|3975|4447|3833|2327|1212|1010|32|01
Pallegama SouthPallegama|381B381|1,269566|9039|9931|9251|9642|9635|8448|11639|8435|9349|7029|9044|7234|6226|4725|2714|2514|168|73|20|10
AnuragodaWeralugampala|392392A|1,155647|7741|8245|8243|9461|7545|9144|9455|7236|8556|8741|7743|6439|6237|4324|2710|1711|177|77|01|21
Nedungolla SouthNedungolla|392D392B|525884|5286|2986|2852|4568|3955|5477|5172|3871|3958|2847|3450|1746|2241|3129|1423|316|15|01|00|01
Nandarama PedesaMandawala North|394A394|1,4581,374|109108|118103|11596|124103|83102|10694|109116|11093|120104|10485|8790|7786|5866|4751|4135|2613|1121|96|01|41
MawathaParakadamulla|394B397B|1,068954|8973|9380|8678|7476|6958|6261|9785|7963|7763|7768|6259|5957|4644|4229|1924|2124|118|43|10|01
NakandapolaKeragala|397A397|754956|4577|5371|5980|5775|3670|5361|5070|5156|6576|4278|5163|5343|4138|3532|2225|1820|1210|69|41|11
WeliketiyawattaKurunduhena|397C395B|1,2411,533|82134|119110|128102|114119|78124|63146|90131|96111|146102|81100|6092|5685|5273|3952|1028|1212|89|53|20|00
BaduwattaMandawala South|395C395|1,1771,193|91111|12492|8066|8781|7265|6692|98104|9780|9595|7272|6283|6067|4855|4950|4333|1622|1014|48|02|31
Anuragoda SouthWalpola|392C381A|872768|6360|6051|6166|7154|5855|5667|5863|6753|7547|6147|6253|3544|4241|2927|1921|288|106|145|20|10
PepiliyawalaGanihigama North|380B380A|1,7151,088|11986|11676|11881|13283|13091|13858|14894|11883|11173|11965|9971|10976|9454|4739|4625|2714|2111|135|62|41
WatawalaMeethirigala|379B379|651691|4867|3458|5541|5034|4041|4353|5278|5548|3833|5640|5042|4042|3242|2435|1216|1210|88|21|00|02
PolhenaGanihigama South|379C380D|837625|6754|6041|5551|6135|5135|6045|9043|5752|6042|4441|5344|5934|4332|2928|1820|2015|69|12|02|30
Dangalla NorthMeniklanda|380C422A|8661,685|77130|76140|69109|50133|49118|61138|77147|59124|69123|60110|6298|3596|3984|2856|1633|1826|812|95|41|02
PelpitaPunchi Mandawala|393395A|7621,757|62135|55129|57134|45138|40135|51128|65152|68127|45112|45112|5399|4898|3887|2469|2448|2027|1214|47|01|65
WaharakaPutupagala|410C396|1,2331,248|10485|9788|8980|84100|8991|97114|103110|8087|9995|8668|7076|6368|5173|4449|3230|2520|129|43|41|01
WalarambaDemalagama|398A398|624843|5572|4476|3751|4950|4447|5575|4268|4858|4574|4459|4041|3158|3835|1329|1520|1414|912|02|11|01
HelummaharaPananwala|399399A|9271,610|86137|65116|6099|80101|68123|75136|90155|61134|55111|5386|50103|5394|4271|3554|1332|2235|1012|48|12|41
Egoda PelahelaPelahela|400B400|1,3011,037|11885|116100|9979|8769|10770|9270|13694|8773|10083|7871|8144|5959|5041|3133|2022|2124|1112|33|42|13
Madurawa|400A|1,197|94|100|101|92|98|68|105|92|92|66|77|55|60|45|16|17|16|3|0|0
KajugaswattaIhala Lunugama|400C410|5751,493|45136|49122|3791|40108|4399|41120|43148|4599|39111|2976|3988|4575|3997|1448|926|721|615|58|02|03
MeegahawattaYakambe|410B393A|1,6441,063|12791|11990|12669|13169|11757|12297|14796|11173|10977|9857|11068|9360|7044|5647|4630|3317|1315|143|22|01
PattiyagamaDangalla|421380|2,053539|17039|16641|17439|16537|14144|14740|15740|15535|14235|16537|12535|10235|8231|6325|368|3111|164|93|50|20
RanwalaWedagama|379A379D|1,665625|12857|11334|11437|11137|14242|14261|15656|11048|11142|7147|11641|9543|8132|6619|4913|267|186|112|21|30
UdugamaUdakanampella South|423424B|779569|7346|5250|5746|5351|5834|7545|6357|4838|5029|3641|5222|4322|3429|2824|2115|1613|122|53|32|00
UdakanampellaSenasungoda|424A424|7461,063|6773|6895|5879|6592|5383|4782|5376|4558|6698|5364|5461|2855|3358|2049|1313|816|97|33|31|00
PoogodaBangalawatta|422420A|1,0501,280|7277|7075|7787|8797|94130|65137|101101|6785|7088|8786|7174|5869|5165|3339|2028|1221|1011|46|13|01
KumarimullaOvitigama|419420|1,5671,425|179117|181126|144115|112104|9387|134100|124116|93110|115116|9389|7484|6975|5467|4747|2033|1722|910|84|13|00
ParathapakandaDethemulla|420B406A|9151,121|7287|8095|6268|6464|6370|6893|97109|6782|6676|5061|4764|3988|5262|4337|2122|916|916|38|02|31
Pahala LunugamaWanaluwawa North|410A408|7761,147|5799|5583|6082|4077|5566|6782|69125|5674|6286|4458|3674|4560|3967|3041|2524|2527|617|33|20|02
ThelkekunaIndolamulla|404B404|9931,163|8474|8792|6390|6096|7773|7882|8988|7278|6672|4282|5972|5460|5559|4644|2831|1638|721|58|03|50
ParangodaNamaluwa|401A401C|1,3091,584|111123|136145|122117|89115|63114|67107|119117|116134|124131|80112|7095|4581|5756|5255|1331|2225|2214|16|03|03
DekatanaNarampola|401401B|9883,088|71248|65274|76360|94322|62191|88247|67251|79217|67202|66156|66158|43129|51116|3797|1850|2443|817|47|12|11
Kalukondayawa WestKalukondayawa East|402A402|1,772843|16469|13875|13357|12059|11162|12172|17165|14462|13764|11255|9851|8630|7434|6424|3925|2819|197|127|03|13
GalwalagodaGanegoda|401D404A|1,6131,861|150149|142154|128148|91126|87120|109140|156162|138138|114117|107126|89114|7396|7083|6074|4048|3232|2028|35|11|30
DompeIddamaldeniya|405405A|3,358939|24967|27667|26277|23762|25165|24759|28878|24769|25658|21267|19658|17959|16253|11245|7423|4712|4015|172|31|32
GuruwalaEgoda Guruwala|409409A|6891,006|6077|4187|3274|5959|5465|6372|7492|4279|3182|4748|4054|4653|4050|2444|1233|1822|27|33|15|00
Wanaluwawa SouthGiridara West|408A407C|1,051802|7868|7370|7968|6660|6348|7367|8474|7964|6945|5443|7348|7248|6737|3623|3116|3213|139|51|10|30
GalpothugodaNikawala|406418|1,118984|7670|10278|7974|6979|8054|9371|9485|7880|8088|6358|8253|6458|5449|3535|2818|2612|89|58|21|04
KapugodaGiridara|418A407|849973|5876|6378|4867|5783|8158|8981|7185|7770|5578|3758|3164|5445|3745|3430|2715|1620|1014|25|21|00
Malinda EastMalinda|407B407A|1,375884|9162|9757|8745|9545|15269|12875|13787|11065|8055|7156|7465|7549|6150|4142|3728|1322|149|83|20|20
PalugamaDegawatta|411405B|1,6221,016|12995|15696|12063|9763|11867|11060|13697|12595|12881|12264|8766|8238|6243|5031|3324|3112|2314|63|42|32
Pahala DompeMalwana|403413|1,0331,587|103140|80129|74116|72122|89128|79116|88132|67111|65130|74101|5783|5189|3859|4051|1829|2222|719|58|31|11
Pahala MapitigamaMorahena|412412B|1,6181,152|12898|135100|12388|12373|12976|13379|128101|125106|13989|8477|9456|7561|6947|4437|4220|2221|1510|68|34|11
KimbulvilawattaUdamapitigama|412A414|2,4211,028|25988|18879|18086|15173|19372|202101|25394|16475|14477|13167|13961|13040|13134|8436|3718|139|1411|57|20|10
Udamapitigama SouthPalugama West|414A411A|1,232827|9374|8863|6461|8456|8656|10556|10064|9374|10166|7054|7849|7038|5441|5029|2917|3315|1810|92|41|31
WelgamaLansiyahena|415415A|919989|7466|63107|5766|5658|6554|6962|8380|6773|6175|5260|5858|5665|5362|4344|2821|1419|138|35|23|23
Samanabedda NorthMahawalawatta|416A417A|1,3621,467|94118|108127|99112|9896|98130|99122|100147|90124|9986|9188|8179|7373|7662|5531|4129|2218|1714|158|30|33
ThittapattaraSamanabedda|417416|1,1351,630|74118|65124|86101|94116|100112|83128|104129|74123|81104|75113|79103|5282|5185|4163|2652|2138|1926|68|43|02
MaharaKimbulgoda|304A|207,7821,735|15,708122|16,422111|15,765127|15,779133|14,843122|15,298109|17,359150|15,408125|15,211123|14,057121|13,065114|11,523115|9,85994|6,97359|4,44742|3,06136|1,72218|8687|2834|1313
PituwalgodaKinigama|306A304|1,4301,841|94156|109176|116142|113118|92118|90126|103147|109148|118143|109116|10790|8092|7880|4765|3550|1539|1114|214|16|11
MaharagamaSiwralumulla|303A303|1,5131,465|114108|128101|10493|10386|135139|125132|145170|143103|108103|8972|6376|6961|7671|4058|3237|2234|69|79|33|10
PilikuttuwaYongammulla|305306|1,621686|11945|13251|11053|10346|11035|11446|16263|10742|8565|8947|11537|10134|9536|6422|4721|3816|1815|88|42|02
AmbagaspitiyaWarapalana|307A294|1,1651,666|73114|92114|101118|62118|6798|68115|107119|91111|88129|90110|62133|7489|6687|4178|3248|2637|1332|912|33|01
KandumullaPasgammana|307298|8541,565|47123|50118|6894|66100|73106|47121|68134|39105|4998|6395|66111|63104|5192|3270|1841|2534|1813|65|50|01
MaligathennaBatepola North|297A295A|1,356817|9863|11746|11260|7955|7863|9083|11275|11043|11341|8849|6746|7747|8547|3436|3430|3115|2012|64|51|01
Batepola|295|1,133|85|90|84|74|51|100|91|85|70|79|72|62|55|41|37|30|14|6|4|3
AmunukumburaMalwathuhiripitiya|296297|1,4591,011|10668|10370|10664|11769|11377|11179|11787|10866|10461|8675|10062|7068|9261|3942|3633|2114|159|103|42|11
Buthpitiya NorthUruwala East|299302A|3991,948|27142|23170|27135|28146|25138|32128|36167|26163|29142|16146|27119|2595|3781|1967|544|534|1116|17|04|04
Uruwala WestButhpitiya South|302300|1,787937|15570|15362|13569|13163|11066|14061|14172|15064|12467|11064|11757|8856|7654|6943|3526|2123|2010|77|23|30
Neelamahara NorthNeelamahara South|298A298B|844555|6750|6444|5838|6324|5635|5534|8663|6931|5747|4536|5341|4235|5221|2616|2218|1513|77|42|30|00
Aramangoda NorthPuwakpitiya|301B292A|4871,072|36103|3882|2883|3264|3477|4677|4177|29120|3572|3750|3071|1957|3056|2032|1218|1120|65|05|13|20
Amunukumbura SouthBalivila|296B296A|1,231982|11956|9778|8073|8470|9469|10764|11371|8686|7674|7669|7153|8055|5654|4252|2918|1322|67|29|02|00
Vilimbula NorthVilimbula South|292292B|1,7993,078|149257|137265|123262|137219|119167|137222|157254|129259|138253|115204|114186|114150|80137|6598|3058|2452|2018|712|25|20
AramangodaKahatana|301301A|1,1801,208|81119|102106|9278|7664|6881|8594|105127|89101|8466|7279|8659|7873|4773|4637|3418|1719|117|54|11|12
HenegamaEtikehelgalla East|291290|2,2141,462|156106|171114|175102|164116|153111|147120|157109|153118|18186|180100|144116|11993|11062|7749|3822|5322|228|76|42|30
Etikehelgalla WestKirikitta North|290A289B|1,4311,341|9580|10195|116110|11490|11290|113102|12299|115104|9594|9899|9588|8390|8168|2958|2443|2315|1110|44|01|01
Kirikitta EastKirikitta West|289289A|1,5261,986|107144|132167|118179|122166|93133|105137|129146|101141|106145|118128|101125|84118|7391|4562|3845|2129|1717|1110|43|10
AhugammanaNaranwala South|284A284B|1,7941,319|159104|130111|143107|12283|11073|13992|156109|135113|132116|12092|10577|9156|7567|5946|3734|4120|2712|105|32|00
NaranwalaUdupila East|284285B|2,7792,746|200210|203223|249227|223207|204224|212181|223172|184230|207271|210199|204158|138123|97122|9074|6161|3730|1617|1415|32|40
Udupila SouthUdupila North|285A285|2,0024,081|166357|155388|166332|155266|147236|152318|156392|152329|140309|129247|125234|109199|78161|69125|3674|3859|1332|1415|27|01
Webada SouthWebada North|288A288|1,8361,706|143122|140135|133137|124121|119123|132141|163139|144121|146116|114108|10295|105120|9482|7565|5036|2623|1113|95|62|02
Webada WestKirillawala North|288B287D|2,5632,606|230164|228194|182193|184206|142169|228209|222198|209200|192184|154191|140177|136159|117139|7286|4862|3933|2219|916|23|74
KirillawalaKirillawala West|287287C|2,1812,251|142165|166170|161192|156182|156155|167152|177183|144150|154164|150140|149135|118136|111108|8687|5653|4242|2221|189|34|33
Sooriyapaluwa NorthKendaliyeddapaluwa East|245246|5,1305,258|429332|418373|401398|415432|369386|369364|426376|387336|426401|351431|284389|259330|232268|149161|99124|7281|2245|1523|46|32
Kendaliyeddapaluwa NorthDangahawela|246C246B|3,4253,794|273318|278324|275292|245288|213258|216254|299286|296306|245280|218254|202255|187206|170153|104132|8778|6355|3534|1116|63|22
Kendaliyeddapaluwa WestMahara Nugegoda North|246A247B|7,1362,558|485193|423214|453204|478208|568186|653213|740228|634161|627185|530162|511157|341159|272111|19272|10850|6428|4317|96|43|11
Mahara Nugegoda WestMahara Nugegoda East|247A247|2,2322,290|174171|180164|163162|167198|155181|147170|191169|177169|163175|148135|142159|115124|117110|7375|4646|3447|1222|179|112|02
Sooriyapaluwa EastSooriyapaluwa South|245B245A|4,9703,820|401260|387251|372255|382320|378313|386287|446310|382266|345247|354255|291278|273238|218215|153130|10667|4858|2746|1716|34|14
RammuthugalaKirillawala South|287A287B|3,0484,297|189313|198354|227319|351331|287320|247313|226372|189304|221304|213307|199289|157246|121204|100132|5079|3054|2428|1118|45|45
Webada EastGonahena East|288C286|2,1301,772|176148|175157|149136|139156|150105|159122|205164|198132|147123|126127|109108|11388|9178|6245|5635|3423|2616|77|22|60
Gonahena NorthGonahena South|286C286D|2,8091,954|232164|230138|205140|234149|203154|196135|252147|218149|195156|159152|179110|157104|132103|9659|5934|3425|2422|310|11|02
Gonahena WestEldeniya East|286A286E|3,5353,762|272313|323302|284271|286297|218328|231292|272333|306306|280265|256232|230215|181173|145162|110131|7069|3639|2118|1112|32|02
Eldeniya WestPuwakwetiya|286B248C|2,7542,776|177209|206201|178199|225226|216218|206205|232245|220207|207205|195199|175194|162147|132116|9591|5659|3827|1913|106|39|20
Ihala Karagahamuna SouthIhala Karagahamuna East|248A248B|2,0092,221|148169|151142|136134|140168|168164|180172|185184|115149|132135|133140|118142|113180|112130|7582|4653|2136|1923|1112|16|50
Ihala Karagahamuna NorthMahara Nugegoda South|248247C|4,3512,994|295248|347259|368260|339264|298202|270197|272241|311230|340231|323217|331180|268140|209104|14397|10450|7037|3620|1811|63|33
NeligamaPahala Karagahamuna North|249C249|2,1601,869|170115|168152|133182|151137|132113|147120|187124|155130|150152|140143|119131|161101|12786|9873|4949|3836|1813|139|43|00
Pahala Karagahamuna EastPahala Karagahamuna West|249A249B|2,1623,559|156238|174253|163218|162267|132263|171261|189344|147289|145226|151228|106198|145214|120212|84145|5287|2664|2031|1219|52|20
KopiwattaDalupitiya East|251A252|2,1122,162|150143|186139|142120|145162|162223|160220|212161|160147|162163|130143|111118|121109|90122|8168|4257|3329|1821|48|13|26
KirimetiyagaraDalupitiya South|251252B|2,2242,617|179194|157219|173178|168186|147200|184237|182241|162205|156193|142169|140159|126135|100111|8177|5549|2632|2715|1312|64|01
Dalupitiya WestPinnameda West|252A255D|1,4982,517|98191|108265|126213|121185|94160|98154|126190|135170|111181|98162|110165|67143|62120|6094|4158|2436|920|68|30|12
GongithotaAppugewatta|255C255H|3,8641,672|307124|296129|320150|328152|275125|277115|319126|237102|246145|290121|290116|21681|16565|11846|5627|5720|3413|2612|63|10
Gongithota WestEnderamulla South|255G255B|3,1272,504|220198|257204|230197|249222|237170|243180|247191|217154|182174|215180|207160|204153|168113|10199|5647|4224|3223|1810|24|01
Enderamulla East|255E|2,847|258|284|292|226|200|178|233|184|231|177|143|111|116|92|61|35|16|6|3|1
PinnamedaNathuduwa|255253|2,9252,363|225149|250180|199191|234176|235193|203174|263196|174162|198198|200186|166127|185129|146107|10287|6847|4534|2118|57|42|20
Enderamulla WestNathuduwa West|255F253A|2,7751,745|217129|235162|222149|222127|201123|193122|198148|200134|200141|180115|169111|15189|13678|9059|6229|4715|3410|153|30|01
Akbar TownKelaniya|255A|3,407137,339|3429,860|3579,984|3319,715|27710,420|25414,006|19211,599|26911,516|2169,628|2229,436|1968,757|1978,337|1716,968|1546,255|1054,477|662,766|291,783|191,049|7516|1147|2120
WelegodaHunupitiya North|256B256|6,6462,987|609296|614258|625249|588271|529244|483199|567228|434220|415202|394196|400182|284152|288123|17872|10246|7024|3517|135|92|91
NahenaEriyawetiya|256C259A|5,7614,664|517355|546342|495335|462351|434346|384375|460400|412334|440365|396312|318292|279252|231232|168155|9596|6063|2932|1817|65|115
KiribathgodaThalawathuhenpita North|267A267|3,3023,737|169252|178267|223264|256235|271257|234328|215314|215283|210275|251207|281239|221222|170239|148142|85101|6660|5024|3918|147|63
Thalawathuhenpita SouthKendahena|266266A|1,6243,618|89206|100214|98197|119253|153301|150305|135342|121262|112252|91240|97231|91232|97213|73159|47104|1955|1932|512|55|33
Egoda EriyawetiyaHunupitiya East|259C256D|2,6295,774|179433|210456|194453|202467|230597|231436|208429|214386|188405|178418|156359|144287|96246|82168|57119|3350|1743|714|24|14
Hunupitiya SouthWanawasala West|256A257|3,5073,916|303308|315319|288287|267288|273303|264295|261373|263318|237270|250241|174225|164186|161191|114136|9179|4346|2135|1312|34|20
Wanawasala EastDippitigoda|257B260|3,4153,513|271264|259265|244251|244264|245287|348305|333349|241226|253255|200235|201204|183154|167166|91122|6071|4242|2130|916|13|24
WeweldoowaWarakanatta|258259|3,6433,926|207131|204144|195142|220143|6951,650|408322|323211|230166|201170|179152|174159|172144|161125|97101|8483|4246|3217|159|28|23
KoholvilaDalugamgoda|259B258A|4,0333,182|263167|299163|231176|256202|362740|338257|328237|269185|292177|269170|268166|237156|208142|168104|9867|6837|4824|2010|91|21
NungamugodaDalugama|258B260A|2,9681,938|15099|168124|176117|203126|408217|308230|260201|173138|186116|165143|20198|16581|14583|11063|6340|4431|2119|1710|32|20
HimbutuwelgodaPattiya East|257A173|3,7613,862|246251|215240|210276|287303|407531|456272|337330|243271|284251|228265|235221|193178|149153|114128|7672|3661|2931|918|35|45
Pattiya NorthMeegahawatta|173B174C|5,0625,140|397405|388454|426429|430442|475436|487486|458450|350376|380370|313313|279277|216219|168195|118111|8371|4855|2336|175|33|37
PeliyagodawattaPeliyagoda Gangabada|174A174|3,6884,030|331331|282318|295314|317361|345364|378386|320318|240279|235295|242250|207243|184194|119152|89105|5043|2844|1921|67|14|01
Peliyagoda Gangabada EastPattiya West|174B173A|2,0463,908|144298|137299|128274|151346|204357|231371|187361|138250|145287|126279|120279|100145|99125|51108|4347|1537|1625|715|30|15
WedamullaGalborella|261261A|4,5613,059|302223|288239|299218|322243|357218|326216|351257|353265|315192|297189|286212|285156|242166|225100|11959|7752|7525|2820|75|74
PolhenaKelaniya|264A264|2,7043,230|194231|210210|202217|187245|197230|185241|231255|204266|209223|185244|183213|159175|131181|97111|4079|4262|2628|1713|14|42
Sinharamulla NorthPilapitiya|263B263A|4,1512,070|281123|299127|285134|323156|346166|304176|340180|313135|279155|248152|276140|24198|245121|16680|9352|6536|2728|167|11|33
PethiyagodaMewella|262262A|4,0944,356|269389|308335|270290|305330|312302|327355|354401|310346|281302|253274|271276|224225|214185|171152|9590|7165|3017|2215|64|13
SinharamullaBiyagama|263|2,834186,585|17714,314|19014,498|20813,282|25514,871|21716,015|20216,105|21216,807|19914,162|21213,538|21211,815|19410,707|1709,039|1267,865|1005,673|663,469|482,225|271,310|15594|1181|3115
Pahala Biyanvila EastIhala Biyanvila North|268269|2,7583,407|175232|196200|168215|202244|236258|215265|226288|214223|215251|196221|152206|157218|162237|110145|6490|3665|2231|911|34|03
Ihala Biyanvila CentralMawaramandiya|269B269A|5,0035,733|400394|371452|393398|414435|365439|388445|417456|342416|398438|378383|314389|230297|218282|158194|108144|5785|2856|1727|71|02
Meegahawatta WestMeegahawatta East|272A272|2,7872,679|191197|228209|225198|187161|184180|183212|245236|243192|232190|167197|169175|147148|127128|96109|5368|5133|3032|1711|93|30
KammalwattaDelgoda|273282/A|2,6272,516|219188|208192|218205|220182|216160|192219|212221|203220|199191|205164|164117|113125|97108|6886|3664|2431|2127|412|21|63
AthurumullaKanduboda East|283282|1,7552,829|142214|166232|140193|136162|112199|126231|135233|142220|154233|104184|83189|90150|56132|6186|4580|3537|1534|614|32|44
Kanduboda WestSiyambalape Watta|282B274C|2,3093,965|189344|158348|166276|192299|200346|185398|202392|155338|174282|140204|158188|122199|94146|48103|4546|3523|2619|107|77|30
DaranagamaSiyambalape North|272B274|2,7405,425|215423|239442|189431|190414|220377|222416|283430|215450|183451|172338|165326|132260|130250|74185|46102|2970|2730|621|16|23
Heiyanthuduwa NorthMakola South Ihala|275271|5,5164,856|452340|452375|430312|428387|412373|419369|470395|441329|435367|403347|311326|250275|226230|152184|108110|8376|2837|1216|44|04
Makola North IhalaMakola North Central|270270A|3,5196,682|265447|259531|249517|257534|244461|269531|289561|299482|249532|224433|232430|205367|183330|107220|81137|6478|2756|1126|57|02
